,Measuring stopping voltage V_0,,,,table ref for spectral lines,,,Discharge instrument after each instrument,,,,,,,,MODEL AP-9368 
,5 light frequencies,,,,f(Hz),,,V_0 = (h/e)f - \phi,,,,,,,,PASCO SCIENTIFIC
,Determining \phi and h,,,,8.22E+14,Violet 2,,hf_0 = \phi,: f_0 is x-intercept,,,,,,,COMPARE WORK FUNCTION
,hf = \phi + eV_0,,,,7.41E+14,Violet 1,,,,,,,,,,
,,,,,6.88E+14,Blue,,Procedure: ,,,,,,,,
linear eq,vs = (h/e)f - phi,,,,5.49E+14,Green,,We position the light aperture towards the photoelectric detector for different light frequencies,,,,,,,,
,,,,,5.19E+14,Yellow,,,,,,,,,,
,gradient = h/e,,e,,,,,,,,,,,,,
,h = e * gradient,,1.602E-19,,,,,,,,,,,,,h 
,,,,,,,,,,,,,,,,6.626E-34
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Brodie,,,V_0 (V),,,,,William,,,V_0 (V),,,
,,,,f (Hz),Trial 1,Trial 2,Trial 3,avg,,,,f (Hz),Trial 1,Trial 2,Trial 3,avg
,,,Violet 2,8.220E+14,1.920,1.910,1.920,1.917,,,Violet 2,8.220E+14,1.930,1.920,1.930,1.927
,,,Violet 1,7.410E+14,1.640,1.660,1.660,1.653,,,Violet 1,7.410E+14,1.660,1.650,1.650,1.653
,,,Blue,6.880E+14,1.460,1.480,1.480,1.473,,,Blue,6.880E+14,1.470,1.470,1.470,1.470
,,,Green,5.490E+14,0.750,0.820,0.810,0.793,,,Green,5.490E+14,0.820,0.830,0.820,0.823
,,,Yellow,5.190E+14,0.650,0.700,0.700,0.683,,,Yellow,5.190E+14,0.700,0.700,0.700,0.700
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,gradient,,y intercept,,,,,,,gradient,,y intercept,,,
,,4.2071E-15,,-1.4887,,,,,,,4.1408E-15,,-1.4887,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,h (plancks constant),,work function (eV),,,,,,,h (plancks constant),,work function (eV),,,
,,6.73977E-34,,1.489,,,,,,,6.63356E-34,,1.434,,,
